SCHOOL_CODE,SCHOOL_NAME_1,SCHOOL_NAME_2
7460,WILLIAM H. ZIEGLER SCHOOL,"ZIEGLER, WILLIAM H. SCHOOL"
7470,BRIDESBURG SCHOOL,BRIDESBURG SCHOOL
7490,PRINCE HALL SCHOOL,PRINCE HALL
7500,FELTONVILLE ARTS & SCIENCES,FELTONVILLE ARTS & SCIENCES
7510,MARY BETHUNE SCHOOL,"BETHUNE, MARY MCLEOD SCHOOL"
7530,ROWEN SCHOOL,"ROWEN, WILLIAM SCHOOL"
7730,ROBERTO CLEMENTE MIDDLE SCHOOL,"CLEMENTE, ROBERTO MIDD. SCHOOL"
8020,NORTHEAST HIGH SCHOOL,NORTHEAST HIGH SCHOOL
8240,HAMILTON DISSTON SCHOOL,"DISSTON, HAMILTON SCHOOL"
8250,EDWIN FORREST SCHOOL,"FORREST, EDWIN SCHOOL"
8260,FOX CHASE ACADEMICS PLUS SCHL,FOX CHASE SCHOOL
8270,THOMAS HOLME SCHOOL,"HOLME, THOMAS SCHOOL"
8300,MAYFAIR SCHOOL,MAYFAIR SCHOOL
8310,J. HAMPTON MOORE SCHOOL,"MOORE, J. HAMPTON SCHOOL"
8320,GEN HARRY LABRUM MIDDLE SCHOOL,"LABRUM,GEN HARRY MIDDLE SCHOOL"
8340,SOLIS-COHEN ACADEMICS PLUS SCH,"SOLIS-COHEN, SOLOMON SCHOOL"
8350,GILBERT SPRUANCE SCHOOL,"SPRUANCE, GILBERT SCHOOL"
8030,GEORGE WASHINGTON HIGH,"WASHINGTON, GEORGE HIGH SCHOOL"
8090,SWENSON ARTS/TECH HIGH SCHOOL,SWENSON ARTS/TECH HIGH SCHOOL
8120,WOODROW WILSON MIDDLE SCHOOL,"WILSON, WOODROW MIDDLE SCHOOL"
8140,AUSTIN MEEHAN MIDDLE SCHOOL,"MEEHAN, AUSTIN MIDDLE SCHOOL"
8160,BALDI MIDDLE SCHOOL,BALDI MIDDLE SCHOOL
8180,JOHN HANCOCK SCHOOL,"HANCOCK, JOHN SCHOOL"
8200,ETHAN ALLEN SCHOOL,"ALLEN, ETHAN SCHOOL"
8210,J. BROWN ACADEMICS PLUS SCHOOL,"BROWN, JOSEPH H. SCHOOL"
8230,CROSSAN ACADEMICS PLUS SCHOOL,"CROSSAN, KENNEDY C. SCHOOL"
8010,ABRAHAM LINCOLN HIGH,"LINCOLN, ABRAHAM HIGH SCHOOL"
8360,RHAWNHURST SCHOOL,RHAWNHURST SCHOOL
8370,WATSON COMLY SCHOOL,"COMLY, WATSON SCHOOL"
8420,STEPHEN DECATUR SCHOOL,"DECATUR, STEPHEN SCHOOL"
8430,JOSEPH GREENBERG SCHOOL,"GREENBERG, JOSEPH SCHOOL"
8440,WILLIAM H. LOESCHE SCHOOL,"LOESCHE, WILLIAM H. SCHOOL"
8410,ROBERT B. POLLOCK SCHOOL,"POLLOCK, ROBERT B. SCHOOL"
4060,MURRELL DOBBINS HIGH SCHOOL,"DOBBINS, MURRELL HIGH SCHOOL"
4100,DIMNER BEEBER MIDDLE SCHOOL,"BEEBER, DIMNER MIDDLE SCHOOL"
4140,STRAWBERRY MANSION HIGH,STRAWBERRY MANSION HIGH SCHOOL
4150,RHODES MIDDLE SCHOOL,"RHODES, E. WASHINGTON MIDDLE"
4020,OVERBROOK HIGH SCHOOL,OVERBROOK HIGH SCHOOL
4030,ENGINEERING & SCIENCE HIGH,ENGINEERING & SCIENCE HIGH
8380,LOUIS H. FARRELL SCHOOL,"FARRELL, LOUIS H. SCHOOL"
8390,A. L. FITZPATRICK SCHOOL,"FITZPATRICK, A. L. SCHOOL"
8400,ANNE FRANK SCHOOL,"FRANK, ANNE SCHOOL"
4530,EDWARD GIDEON SCHOOL,"GIDEON, EDWARD SCHOOL"
4560,WILLIAM D. KELLEY SCHOOL,"KELLEY, WILLIAM D. SCHOOL"
4570,GEN. GEORGE G. MEADE SCHOOL,"MEADE, GEN. GEORGE G. SCHOOL"
4220,BLAINE ACADEMICS PLUS SCHOOL,"BLAINE, JAMES G. SCHOOL"
4240,LEWIS C CASSIDY ACADEMICS PLUS,"CASSIDY,LEWIS C ACADEMICS PLUS"
4270,WILLIAM DICK SCHOOL,"DICK, WILLIAM SCHOOL"
4280,SAMUEL GOMPERS SCHOOL,"GOMPERS, SAMUEL SCHOOL"
4300,HESTON ACADEMICS PLUS SCHOOL,"HESTON, EDWARD SCHOOL"
6330,PASTORIUS SCHOOL,"PASTORIUS, FRANCIS D. SCHOOL"
4310,KENDERTON SCHOOL,KENDERTON SCHOOL
6390,EDWARD T STEEL SCHOOL,"STEEL, EDWARD SCHOOL"
4370,OVERBROOK ELEMENTARY SCHOOL,OVERBROOK ELEMENTARY SCHOOL
